"","IRE1_softmax","ATF6_softmax","PERK_softmax","IRE1_score","PERK_score","ATF6_score"
"102_138",0.10963562257389,0.0159596994353113,0.874404677990799,-0.643743958093473,1.43263698350866,-2.57083954381274
"102_139",0.161125750524935,0.0924322898061594,0.746441959668905,-1.6903879512484,-0.157255206510606,-2.24609669614752
"102_141",0.532989879264859,0.0699744517520695,0.397035668983071,-0.0491998925819275,-0.343676205365232,-2.0795721278621
"102_143",0.126982721824052,0.672529499944216,0.200487778231732,0.714306148949073,1.17100840881394,2.38130109697741
"102_144",0.715784656873876,0.238398080511998,0.0458172626141258,0.699591568391455,-2.04912686169776,-0.399845911161079
"102_145",0.736690168950292,0.0759053102448786,0.187404520804829,1.21883332674426,-0.150064588804476,-1.05384743648808
"102_147",0.0517349898694042,0.908395339845458,0.0398696702851375,-0.366474650726814,-0.626993098355821,2.49907069018275
"102_148",0.320451578408468,0.091358116509268,0.588190305082264,-1.88929908889581,-1.28197972879879,-3.14424314288056
"102_152",0.497675061794561,0.374504608763982,0.127820329441457,-0.511435171131362,-1.8707569472332,-0.795778439510419
"102_154",0.291742960548442,0.103934847042047,0.604322192409511,-1.52848764855672,-0.800253304211049,-2.56059655898659
"102_155",0.0561346302511503,0.0590607336953355,0.884804636053514,-1.75875935055205,0.998854602755081,-1.70794596854258
"102_156",0.702910787904547,0.262777310495633,0.0343119015998209,1.10609550524553,-1.91364219712351,0.122172468820111
"102_158",0.544696751244185,0.250156958950929,0.205146289804886,0.862133422324433,-0.114372464299428,0.0839927589150578
"102_159",0.277477774822661,0.672336255084841,0.050185970092498,0.600738145844769,-1.10926718599846,1.48575590156043
"102_160",0.514175031972726,0.424796187535505,0.0610287804917687,0.374436215023957,-1.75678195734833,0.18348197356522
"102_162",0.396479396265561,0.243112291516557,0.360408312217882,2.50416100305972,2.40877451669209,2.0150603689656
"102_163",0.161203194468664,0.716240894217296,0.12255591131404,-0.473034112256202,-0.747132414188024,1.01831679587796
"102_166",0.0427587119447925,0.00673140016616524,0.950509887889042,-0.271772976468343,2.82965262543205,-2.12056276878947
"102_167",0.332886301504919,0.581902812929557,0.0852108855655237,-0.217662538539884,-1.5803343427677,0.340839912398524
"102_168",0.272739785228605,0.510418402950767,0.216841811820628,-0.676024087324597,-0.905374150373779,-0.0493114729770046
"102_169",0.17943541419924,0.610928867000915,0.209635718799845,-0.123085826229971,0.0324701921130859,1.1020793718374
"102_171",0.148240740668757,0.0628959401829391,0.788863319148304,-1.05815287893171,0.613602615508015,-1.91550883968075
"102_173",0.500342794805907,0.363936347818253,0.135720857375839,-0.227799101947633,-1.53249229793617,-0.546113571358175
"102_174",0.132354441089188,0.564357394375947,0.303288164534865,-0.363881124124855,0.465318783751294,1.08632312090373
"102_176",0.35937846559038,0.601312376292739,0.0393091581168818,0.866078179704594,-1.34684035249082,1.38081668521028
"102_177",0.165495109038955,0.399051008524895,0.43545388243615,-1.35521112761627,-0.387763874345773,-0.475063519728553
"102_178",0.64535409040904,0.276444673810177,0.078201235780783,1.53797378197991,-0.572539911311552,0.690185344660433
"102_182",0.31957254155984,0.46247010938935,0.21795734905081,-1.22812856175514,-1.61081345984519,-0.858530930420452
"102_183",0.192130232014433,0.468523952881459,0.339345815104108,-0.421526261700995,0.147319995445596,0.469887531584853
"102_185",0.306285361051895,0.152540590865339,0.541174048082766,-1.34444189025082,-0.775218167501378,-2.04152837986407
"102_186",0.22678895788566,0.56492031131876,0.20829073079558,-1.04580217609718,-1.13088721221868,-0.133137380908988
"102_187",0.0590855883663702,0.0231446651073781,0.917769746526252,-1.63696274315842,1.10599675221724,-2.5741854811155
"102_189",0.606373342083035,0.147668452884515,0.24595820503245,0.209567629288806,-0.692766619872232,-1.20295866554092
"102_191",0.16726006400616,0.812519854212478,0.0202200817813623,0.0688541465230657,-2.04401946594297,1.64944462575428
"102_192",0.0694369721349948,0.559811062105635,0.37075196575937,-1.46294484342588,0.212168974339062,0.624235028923056
"102_193",0.0332219578371025,0.0805852829567703,0.886192759206127,-1.5361597159492,1.74756373423134,-0.650054714639587
"102_194",0.157005898762579,0.183372338053493,0.659621763183928,-0.147530194476315,1.28785301380392,0.00770514909374631
"102_196",0.681054004248427,0.09987223403751,0.219073761714063,-0.638138766872045,-1.77237188668208,-2.55788866180982
"102_197",0.432530606404023,0.0942229142512625,0.473246479344714,0.122830024703516,0.212793285331216,-1.40115966234014
"102_198",0.270247071041943,0.112721516581934,0.617031412376123,-1.35599344461213,-0.530410129037022,-2.2304097411977
"102_199",0.479818310597578,0.152404513178993,0.367777176223429,-1.43816625036978,-1.70409650763942,-2.58503550617726
"102_201",0.328189259318271,0.407936969070419,0.26387377161131,-1.66488824282796,-1.88300784395644,-1.44736602002524
"102_202",0.376457193358505,0.283286591068497,0.340256215572999,-0.398253077957427,-0.499358513444842,-0.682598347967176
"102_204",0.1805278034709,0.34693931420127,0.47253288232783,-0.864439095808335,0.0977834391717507,-0.21117401994453
"102_205",0.49644488996365,0.37154093471557,0.13201417532078,0.535277938361604,-0.789285236296535,0.245464503836346
"102_206",0.360035327511795,0.60343602853981,0.0365286439483952,0.93904286210081,-1.34906257798162,1.45548073764465
"102_208",0.281713165807833,0.152116689596731,0.566170144595437,-0.690060052544968,0.00794517853809573,-1.30630154228242
"102_209",0.136766683446105,0.744759365741246,0.11847395081265,-1.7814738318501,-1.92505715327229,-0.0866890981176232
"102_210",0.200065882089156,0.0239561044175057,0.775978013493338,-1.47826029172681,-0.122782827822238,-3.60068384136382
"102_211",0.135293112786448,0.0576250437709756,0.807081843442576,-1.4379527291677,0.348028720262357,-2.29143909887093
"102_212",0.216718204254621,0.630329556794985,0.152952238950394,-0.599147191374813,-0.947619394165076,0.468497685535742
"102_215",0.160368895290327,0.752496041799198,0.0871350629104751,-0.204617558469776,-0.814634953360055,1.3413014210807
"102_216",0.415325828849061,0.559636145800076,0.0250380253508636,0.686737672610394,-2.12192998599143,0.984961163590257
"102_220",0.17426711045551,0.444858166100506,0.380874723443985,-0.67821146013018,0.10366981138194,0.258954803681048
"102_221",0.501591374185966,0.440982732647671,0.0574258931663626,0.2186496951133,-1.94864079538902,0.0898696222277304
"102_227",0.390717295451784,0.242228497603236,0.36705420694498,-0.538486100411695,-0.600960829355133,-1.01658888370245
"102_228",0.313193429100081,0.112686744567718,0.574119826332201,-1.20079923866082,-0.594782091463361,-2.22300842551218
"102_229",0.049532952039434,0.10617988524618,0.844287162714386,-0.785365425080025,2.05048910596777,-0.0228688845355718
"102_230",0.414066654386357,0.249485185973093,0.336448159640551,-0.300214910322514,-0.507797792436892,-0.806842333550324
"102_231",0.0656219410782944,0.0382045585682407,0.896173500353465,-0.589740296912532,2.02448362841904,-1.13069556185776
"102_232",0.428449078298732,0.253059672716425,0.318491248984843,-1.27391094618552,-1.57048784113255,-1.8004575185965
"102_237",0.47092914125586,0.0773917317055816,0.451679127038558,-0.821894788093548,-0.863630395794345,-2.6277224782186
"102_238",0.131269625904432,0.028167258984922,0.840563115110646,-0.925064527077345,0.931754094297131,-2.46415767354652
"102_239",0.0977347393588071,0.198513210459883,0.70375205018131,-0.680479614568814,1.29368941051859,0.0281189671930275
