"","pseudotime","UPR_Rheostat_SD","UPR_Rheostat_Range","UPR_Rheostat_CV","UPR_Balance","Dominant_UPR"
"105_B1_782",19.4611723679886,0.238612312923669,0.477196796217564,-0.385607145999695,0.914781559509261,"IRE1_score"
"105_B1_784",15.4724562090894,0.950668365477139,1.71297806192546,-13.9451782983815,0.533361519175316,"IRE1_score"
"105_B1_793",18.3499535337115,0.295816262276067,0.591253104689456,-0.376102197921219,0.885949702966209,"IRE1_score"
"105_B1_801",44.5998260262482,0.805981636377842,1.53551202818896,-3.22429955820914,0.680540847299492,"PERK_score"
"105_B1_803",17.6217053243537,0.234520589538011,0.462553634473194,-0.387821068535538,0.900948121192625,"IRE1_score"
"105_B1_804",19.7265175373464,0.248669443006172,0.490467940652187,-0.406447082536323,0.892859096672574,"IRE1_score"
"105_B1_808",18.8366141583738,0.914276803124022,1.67546680117107,8.43153723291374,0.582815289208803,"ATF6_score"
"105_B1_813",17.0585563365789,0.324550208830554,0.649064382677843,-0.398886961645414,0.879161083039454,"IRE1_score"
"105_B1_816",27.6961714620454,0.17525364308117,0.347504094989161,-0.414434318443449,0.958032143643173,"IRE1_score"
"105_B1_818",19.1678863508369,0.955977520871489,1.74897536928548,11.0319333189712,0.571680845335772,"ATF6_score"
"105_B1_826",19.513244194965,0.147981050352455,0.294811917743297,-0.288579182228364,0.974917565786583,"IRE1_score"
"105_B1_829",19.4890730598281,0.137582862004407,0.251582999231853,-0.319587757916878,0.941176839591355,"IRE1_score"
"105_B1_830",19.7219498118438,0.244531292503316,0.481972139902803,-0.42810914368215,0.894609336216764,"IRE1_score"
"105_B1_839",18.0698998612773,0.240033967771796,0.472054891239432,-0.388844685592423,0.895403431081498,"IRE1_score"
"105_B1_844",16.9254662339836,0.209326894858448,0.365377452642726,-0.484659646947977,0.828624972089208,"IRE1_score"
"105_B1_850",19.4296098637164,0.690490562230319,1.35139551163582,-1.7667583936583,0.745400736333496,"ATF6_score"
"105_B1_853",16.1946207538019,1.02965825954778,1.91173374848628,4.63609270300713,0.595178000784362,"ATF6_score"
"105_B1_854",16.250760138332,0.200973677854927,0.401418166845924,-0.359641973383577,0.939239059296332,"IRE1_score"
"105_B1_855",19.726517653268,0.86713975925805,1.63189242980026,-7.04445488600663,0.647646209135577,"ATF6_score"
"105_B1_858",15.9886602789569,0.921424534281258,1.61478503422493,-14.3290463725444,0.453964223720672,"IRE1_score"
"105_B1_867",19.6104973753914,0.17828608776079,0.338756160758687,-0.358956276995225,0.960525613055771,"IRE1_score"
"105_B1_870",13.1194591369396,0.739396005200402,1.34973577059268,10.8778733357785,0.610222999337232,"IRE1_score"
"105_B1_874",18.2472806956879,0.843916105951614,1.51481500229817,-6.2701692995096,0.545062411151919,"ATF6_score"
"105_B1_877",19.4475090873672,0.384586208681046,0.769017473193659,-0.493283855014227,0.855560836149463,"IRE1_score"
"105_B1_881",16.6627280309354,2.01216628417757,3.99502951550817,1.48295790759439,0.678682517502525,"ATF6_score"
"105_B1_886",19.610497491313,0.986948963578631,1.8609816970168,1.29280634054823,0.794492358984462,"ATF6_score"
"105_B1_888",16.259926449881,1.11811972810184,2.06163016705625,1.45774202803382,0.787800081598786,"ATF6_score"
"105_B1_892",18.5826252299145,0.853807160224165,1.57772285578961,-5.00843543817373,0.612482338129531,"ATF6_score"
"105_B1_895",16.0437175859077,0.131401016138463,0.228204506683555,-0.359066407237658,0.927549789606264,"IRE1_score"
"105_B1_896",19.1959961200956,0.215139927818733,0.418804363789826,-0.285875104080237,0.903732070959468,"IRE1_score"
"105_B1_899",19.2599217178599,0.214968333686262,0.427997979876623,-0.392104371964322,0.920627531658256,"IRE1_score"
"105_B1_902",12.9204818820957,0.899520958116147,1.61039589289949,133.179010450162,0.525669498983103,"ATF6_score"
"105_B1_905",17.1381370355369,0.330481789096498,0.660320710575831,-0.429340248793234,0.879988754156985,"IRE1_score"
"105_B1_908",15.5068323957745,0.182305732297183,0.350144758218577,-0.320783750770028,0.957603730214942,"IRE1_score"
"105_B1_912",17.1773403818107,0.204367848993251,0.407143700649421,-0.450874928034583,0.927685673758736,"IRE1_score"
"105_B1_919",18.1787823387174,0.955401836583491,1.76770797066257,142.195341695465,0.59811201778694,"ATF6_score"
"105_B1_922",18.8761811571802,1.3974976838318,2.76767831088196,1.54675667121473,0.755542357669844,"IRE1_score"
"105_B1_923",19.6104976072347,1.01420566263581,1.88833065380894,-13.50172807406,0.603568624965116,"ATF6_score"
"105_B1_925",17.1324514247945,1.81671360398149,3.61933690114918,1.68534932039757,0.695334807636288,"ATF6_score"
"105_B1_931",19.7265177691897,0.191799056798515,0.383557292601395,-0.342186708481924,0.942707253532039,"IRE1_score"
"105_B1_933",19.1734895812897,0.949077882953139,1.74814656080848,12.5587267353344,0.58887586020809,"ATF6_score"
"105_B1_935",18.6035315724616,0.0900340813588043,0.176430734879146,-0.245179249924518,1.01449562846553,"IRE1_score"
"105_B1_936",19.1077096820552,0.188459492648396,0.363770389859453,-0.423509554643786,0.917985255554647,"IRE1_score"
"105_B1_937",19.382118397624,2.56840199514438,5.01437473447443,1.92545719213472,0.622567644869398,"ATF6_score"
"105_B1_940",19.7265178851113,0.286793910821101,0.556040027521281,-0.388511884813813,0.857456364098814,"IRE1_score"
"105_B1_941",18.4065395682563,0.951445889808676,1.79086741529737,-1.68535702762392,0.635319711430375,"IRE1_score"
"105_B1_950",17.60769322069,0.211058520117227,0.421234638171458,-0.394673898179606,0.93424247658667,"IRE1_score"
"105_B1_951",16.8868799918219,0.870753639912547,1.60720614303288,-18.0046632452242,0.606912029243792,"IRE1_score"
"105_B1_964",17.0675896483866,0.278660259344395,0.556165265746268,-0.479315698508437,0.890458414665919,"IRE1_score"
"105_B1_969",18.2268128619915,0.144543070766056,0.286888092806216,-0.322485922304188,0.967618831457808,"IRE1_score"
"105_B1_970",17.3999485066398,1.26078871358638,2.40355357209617,0.693996563800539,0.77611170739279,"ATF6_score"
"105_B1_971",19.8124900048399,0.807060805281382,1.41633228161882,3.24100740656016,0.813358538651551,"IRE1_score"
"105_B1_972",19.0886445795669,0.170440748247202,0.340626843825438,-0.3211825900111,0.953502511053095,"IRE1_score"
"105_B1_979",18.5919460471121,0.298320237466573,0.593960573618358,0.389448457898797,0.895660828924207,"ATF6_score"
"105_B1_980",14.9682987693162,0.953997643884606,1.79884507823771,-2.79364095246535,0.638530566998659,"IRE1_score"
"105_B1_982",18.1749758139673,0.956919394483586,1.80907501823116,-6.97965123774623,0.643352852260651,"ATF6_score"
"105_B1_983",19.1678864667585,0.895291710765398,1.6495107804401,16.5522421012313,0.598525312751421,"ATF6_score"
"105_B1_990",16.5256070176165,0.183855257569467,0.328394502035687,-0.562247336631499,0.875507426232466,"IRE1_score"
"105_B1_993",16.725620547045,2.64223542265304,5.17295176970882,0.866794371136797,0.627519336543713,"ATF6_score"
"105_B1_995",19.4977450261237,0.158030020320337,0.307646043158263,-0.334187847016365,0.94718514543605,"IRE1_score"
"105_B1_998",19.5132443108866,0.124650496521201,0.240826115005099,-0.335808576396039,0.974979482993857,"IRE1_score"
"105_B1_1000",18.5267291208063,0.229732751638815,0.459446736095554,-0.403338813382403,0.920845482779875,"IRE1_score"
"105_B1_1014",19.141308836998,0.14850229914182,0.2843574021214,-0.28159096091814,0.979001842832045,"IRE1_score"
"105_B1_1020",18.7892379324293,0.755106126685226,1.44244029969379,-6.82585281899384,0.694017185096155,"PERK_score"
"105_B1_1024",19.4600798657566,0.197161452929708,0.389332546868047,-0.39601886155691,0.925397218821225,"IRE1_score"
"105_B1_1025",19.8012366049384,0.934722646412701,1.69293577016178,8.72691535313954,0.550047953860736,"ATF6_score"
"105_B1_1030",19.6393232832403,0.115215258296547,0.230430402641781,-0.245686322988757,0.997863873490904,"IRE1_score"
"105_B1_1032",19.1384259411522,0.230664534020201,0.400604321314887,-0.441718430181606,0.799443335325526,"IRE1_score"
"105_B1_1040",16.6551640085212,0.151087621672499,0.298385997057693,-0.382628150674899,0.959737502814798,"IRE1_score"
"105_B1_1044",19.1526664067211,1.81069832214668,3.48115425107424,1.93833100648254,0.612040969214412,"ATF6_score"
"105_B1_1053",18.3786263132456,0.215998135707384,0.431180842948105,-0.32658168584524,0.931377068943491,"IRE1_score"
